,ind1,ind2,indAll,indAny,indnot1,indnot2,ind1=tempResponsive,ind2=PIF7Dependent
277,AT1G04310,AT1G68825,AT3G30180,AT5G06720,AT1G28570,AT1G53730,,
278,AT1G11735,AT1G51370,AT5G01600,AT5G14390,AT5G63820,AT4G33120,,
279,AT3G62070,AT1G60740,AT4G39400,AT1G07400,AT4G19370,ATMG00580,,
280,AT2G46670,AT5G45740,AT1G67265,AT1G70250,AT4G32460,AT1G24148,,
281,AT4G36900,AT5G40100,AT5G02200,AT5G57340,AT3G02240,AT5G06510,,
282,AT4G03320,AT2G33570,AT5G03260,AT1G52410,AT4G18290,AT1G78265,,
283,AT5G23750,AT5G03545,AT3G20380,AT3G16610,AT5G37550,AT2G05300,,
284,AT5G20250,AT1G04040,AT5G46730,AT4G12400,AT2G29460,AT4G30410,,
285,AT3G54200,AT1G17870,AT2G46750,AT1G64330,AT2G12400,AT2G29300,,
286,AT5G15830,AT2G26690,AT5G57340,AT3G05880,AT3G22945,AT3G16920,,
287,AT1G03620,AT5G18060,AT1G25988,AT3G21510,AT1G55040,AT2G05510,,
288,AT5G35525,AT2G42800,AT2G25220,AT2G07765,AT3G03520,AT1G20015,,
289,AT5G18690,AT5G12940,AT1G78060,AT1G60060,AT2G40270,AT2G41475,,
290,ATMG00480,AT1G04310,AT5G57560,AT3G28200,AT3G11550,AT1G16390,,
291,AT3G03341,AT1G11735,AT1G76240,AT5G02540,AT3G48700,AT5G06280,,
292,AT5G11100,AT5G06860,AT2G47780,AT5G12340,AT4G25560,AT5G64552,,
293,AT5G21100,AT1G15310,AT2G18010,AT2G01430,AT3G50930,AT2G37060,,
294,AT2G24280,AT3G02850,AT1G72230,AT3G50845,AT5G40090,AT5G40250,,
295,AT1G15380,AT5G23190,AT1G68560,AT5G12020,AT2G45290,AT1G67650,,
296,AT1G19350,AT1G04250,AT1G31770,AT4G34260,AT5G13700,AT1G55960,,
297,AT1G26911,AT5G05840,AT4G14560,AT3G50840,AT5G59510,AT1G53540,,
